('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1137__5382064_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1140__5382096_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1143__5382130_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1147__5382148_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1151__5382186_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1162__5382288_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1167__5382348_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1169__5382374_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1171__5382400_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1173__5382424_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1177__5382560_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1183__5382610_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1185__5382626_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1188__5382836_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1195__5382902_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1197__5382916_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1199__5382940_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_119__5370034_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1201__5382960_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_1207__5383040_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_121__5370056_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_123__5370074_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_132__5370144_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_134__5370202_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_136__5370218_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_138__5370226_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_140__5370714_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_142__5370750_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_144__5370956_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_146__5371020_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_148__5371056_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_151__5371074_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_160__5371154_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_166__5371188_1', 'TO')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_169__5371204_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_16__5368454_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_171__5371230_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_173__5371248_1', 'THM')
('hosup_res/problems/sh-no-bools/Fundamental_Theorem_Algebra/prob_175__5371276_1', 'TO')
